name,money,addr
贵州一龙熔喷布制造有限公司,12000万元人民币,贵州省遵义市红花岗区深溪镇盈田工谷37号厂房整栋
四平市东昇熔喷布制造有限公司,1000万元人民币,四平市铁东区平东东路西侧
贵州富源卓致熔喷布贸易有限公司,380万元人民币,贵州省黔南州福泉市马场坪办事处工业园区3#标准化厂房四楼
瑞安市华亮熔喷布新材料有限公司,100万元人民币,浙江省温州市瑞安市瑞安经济开发区发展区港口大道399号(浙江建达机械有限公司内5幢1楼)
伊春市诺德熔喷非织造布有限公司,500万元人民币,黑龙江省伊春市上甘岭区森林街1069幢号
台州东海翔熔喷非织造布有限公司,550万元人民币,浙江省台州市临海市杜桥镇杜南大道3091号
扬州中创熔喷非织造布制造有限公司,100万元人民币,高邮市送桥镇扬菱路向西150米
宁波益体熔喷非织造布有限公司,150万元人民币,慈溪市宗汉街道百两桥村
哈尔滨市道外区海堂熔喷布厂,,哈尔滨市道外区团结镇程家村
瑞安市大银熔喷布加工厂,,浙江省温州市瑞安市东山街道望江新街118号一楼
丹阳市丹北镇厚德熔喷布厂,20万元人民币,丹阳市丹北镇埤城城中村
丹阳市界牌镇洪辰熔喷布厂,10万元人民币,丹阳市界牌镇界南工业园
丹阳市丹北镇沃恒熔喷布厂,20万元人民币,丹阳市丹北镇埤城城中村
丹阳市丹北镇尚亿熔喷布厂,20万元人民币,丹阳市丹北镇埤城村
丹阳市界牌镇龙峰熔喷布厂,10万元人民币,丹阳市界牌镇界北村长江渔场中山灯具厂内
怀远县榴城塑宝熔喷布加工厂,,安徽省蚌埠市怀远县榴城镇经济开发区兴业路5号院内3号门
丹阳市界牌镇凯拓熔喷布厂,20万元人民币,丹阳市界牌镇武阳工业园
丹阳市访仙镇华俊熔喷布厂,50万元人民币,丹阳市访仙镇独山村土桥
丹阳市界牌镇荣吉熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市丹北镇真善美熔喷布厂,10万元人民币,丹阳市丹北镇埤城常兴村常六工业园
常德通通帮医疗科技有限公司,500万元人民币,湖南省常德经济技术开发区石门桥镇上街社区(社区7栋1层101室)
丹阳市丹北镇伊动熔喷布厂,20万元人民币,丹阳市丹北镇埤城尧巷
丹阳市丹北镇绿艳熔喷布厂,20万元人民币,丹阳市丹北镇埤城唯益工业园
丹阳市丹北镇仁通熔喷布厂,20万元人民币,丹阳市丹北镇埤城村林常路
丹阳市陵口镇河润熔喷布厂,30万元人民币,丹阳市陵口镇大王庄201县道旁
丹阳市界牌镇栋成熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市界牌镇束超熔喷布厂,20万元人民币,丹阳市界牌镇界中工业园
丹阳市丹北镇双喜熔喷布制造厂,500万元人民币,丹阳市丹北镇长春园
丹阳市丹北镇亿涵熔喷布厂,50万元人民币,丹阳市丹北镇前巷村徐巷(沿江工具厂内)
宜兴市官林镇达迅熔喷布经营部,3万元人民币,宜兴市官林镇新官西路
天津泰达洁净材料有限公司,8000万元人民币,天津开发区第三大街16号
上海港凯净化制品有限公司,80万美元,上海市松江区车墩镇香亭路382号
连云港柏德实业有限公司,3900万美元,连云港市东海开发区晶都路北、晶宸路南
上海精发实业股份有限公司,5000万元人民币,上海市金山区亭林镇林盛路28号
泉州市百川熔喷科技有限公司,3000万元人民币,福建省泉州市石狮市蚶江镇海峡两岸科技孵化基地研发楼5楼502
大连瑞源非织造布有限公司,1824万美元,辽宁省大连市金州区西南窑100号
江西天滤新材料股份有限公司,1000万元人民币,江西省九江市浔阳区三号工业园津晶城科技园20号楼102.202
江苏盛纺纳米材料科技股份有限公司,5955.5572万元人民币,巴城镇正仪通澄南路2号2、3号房
开平华士达制布企业有限公司,1772.5万美元,开平市长沙东郊
高密宏泰机床制造有限公司,2000万元人民币,山东省潍坊市高密市三真大道西平安大道北
晋江市兴泰无纺制品有限公司,1050万美元,晋江市五里工业园区
江苏金美达新材料有限公司,4561万元人民币,泗洪县经济开发区淮河西路19号
上海名冠净化材料股份有限公司,2270.7万元人民币,上海市嘉定区园国路1185号4幢1层B区
湖南欣龙非织造材料有限公司,8300万元人民币,津市工业集中区团湖大道西侧
浙江朝隆纺织机械股份有限公司,8070万元人民币,浙江省温州市瓯海仙岩工业园勤丰路62号
山西相明医疗器械有限公司,5000万元人民币,山西省长治市潞州区南环东街148号唯美诺科技园068号
河南健德材料科技有限公司,1000万元人民币,郑州航空港经济综合实验区华夏大道与人民路交叉口智能终端(手机)产业园24号楼
江苏六鑫洁净新材料有限公司,8600万元人民币,泗洪县经济开发区香江路北侧
深圳市中村科技实业有限公司,500万元人民币,深圳市宝安区松岗镇沙浦村欧洲之窗工业区
山东景云新材料有限公司,2000万元人民币,济宁高新区黄屯街道办事处西浦路116号
湖北裕民防护用品有限公司,1000万元人民币,湖北省仙桃市彭场镇彭场大道118号
量子金舟（天津）非织造布有限公司,200万元人民币,天津市武清区曹子里镇花城中路57号
郑州和纬达塑业有限公司,2188万元人民币,郑州市中原区纺织产业园文竹街
安徽用特医疗器械有限公司,3000万元人民币,安徽省阜阳市太和县经济开发区裕民东路路北
平舆县佳喜防护科技有限公司,6600万元人民币,河南省驻马店市平舆县工业集聚区西6-2
普宁市新栩纺织有限公司,5000万港元,普宁市流沙南睦邻路北侧马栅开发区
太康县栋建机械设备有限责任公司,500万元人民币,河南省周口市太康县城郊乡蜜蜂刘村
深圳市新高佳科技有限公司,500万元人民币,深圳市宝安区西乡街道固兴社区固戍一路一号U+研发中心A座101
临沂亿创新材料有限公司,100万元人民币,临沂市兰山区义堂镇岚富路和义刘路交汇葛疃村68号
河南康胜生物科技有限公司,1000万元人民币,河南省郑州市荥阳市荥运路与飞龙路交叉口向东100米路南
大连瑞光非织造布集团有限公司,1136.8万元人民币,辽宁省大连市金州区友谊街道龙水路2号
上海捷英途新材料科技有限公司,1000万元人民币,上海市奉贤区新杨公路1566号4号厂房
安徽江宜新材料有限公司,800万元人民币,安徽省安庆市怀宁县工业园月山大道旁电子精密仪器专业园9号楼
佛山市南海必得福无纺布有限公司,6000万元人民币,广东省佛山市南海区沙头石江工业区
御元堂药业股份有限公司,5000万元人民币,贵州省铜仁市松桃苗族自治县经济开发区工业路1号
山东上善堂生物工程有限公司,12000万元人民币,山东省威海临港经济技术开发区府前街2号
称道新材料科技（上海）有限公司,3000万元人民币,上海市青浦工业园区天盈路585号1-3幢
晋江市世康新材料科技有限公司,3000万元人民币,福建省泉州市晋江市内坑镇前洪村5号
招远市成霖无纺布制品有限公司,200万元人民币,山东省烟台市招远市金晖路530号
安徽省亮亮纺织有限公司,3000万元人民币,安徽省安庆市望江经济开发区通港路15号
河南拉波尼医疗科技有限公司,1000万元人民币,河南省新乡市长垣市蒲东蒲城大道与龙逄大道交叉口向北300米路西
河南恒发地毯有限公司,800万元人民币,巩义市产业集聚区
利辛县尚佳纺织有限公司,500万元人民币,安徽省亳州市利辛县旧城镇代园村代园窑厂
牡丹江诺德信医疗器械科技有限公司,1000万元人民币,黑龙江省牡丹江市东安区江南开发区中俄科技信息产业园规划二街
河南省德庆祥制药有限责任公司,500万元人民币,平舆县工业集聚区(丰收路南侧创业路5号)
江苏优风环保科技有限公司,4000万元人民币,南通高新区西区金鼎路东侧、金桥路北侧
江西昊瑞工业材料有限公司,1000万元人民币,江西省九江市浔阳区城东工业基地津晶城科技园内
诸暨吉里熔喷材料科技有限公司,500万元人民币,浙江省诸暨市店口镇杨梅桥社区(诸暨三森纺织科技有限公司厂区内)
乐昌市宝创环保新材料制品有限公司,3000万元人民币,乐昌市乐昌产业转移工业园金岭二路3号
阜新矿源物资有限公司,3000万元人民币,阜新市太平区东阜新车站
山东昌运医用制品有限公司,2000万元人民币,山东省临沂市沂南县孙祖镇纸坊村
东莞市力量纺织品有限公司,100万元人民币,广东省东莞市南城街道宏图路39号11栋2169室
陕西金亿和新材料有限公司,600万元人民币,陕西省安康市汉阴县涧池镇军坝村六组
湖南盛锦新材料有限公司,2180万元人民币,湖南省岳阳市经济技术开发区康王工业园(奇康路24号)
山西高德融信新材料科技有限公司,16000万元人民币,山西省临汾市襄汾县襄汾经济技术开发区十方泽科技创新产业园
湖南韩克生物科技有限责任公司,200万元人民币,湖南省湘西土家族苗族自治州花垣县花垣工业集中区创新创业园
江阴金港无纺布有限公司,500万元人民币,江阴市顾山镇红豆村古塘183号
桐城市嘉德卫生材料有限公司,100万元人民币,安徽省安庆市桐城市范岗镇工业园
江阴金凤非织造布制品有限公司,550万美元,江苏省江阴市陆桥镇
山东泰鹏环保材料股份有限公司,9100万元人民币,山东肥城市高新技术产业开发区
广东中樱汽车声学系统研发有限公司,6000万元人民币,广州市增城区仙村镇西南开发区田中坑
桐城市众安纺织有限公司,200万元人民币,安徽省安庆市桐城市经济技术开发区双新产业园1号
河南宏大非织造布有限公司,1500万元人民币,新乡经济技术开发区
广东闽永无纺科技有限公司,1000万元人民币,广东省东莞市虎门镇新尚路15号1栋101房
山东信恩无纺布有限公司,10000万元人民币,山东省聊城市茌平区乐平铺镇高端产业聚集区
兆嘉工程用布（上海）有限公司,344.12万美元,上海市松江区新浜镇文兵路683号
惠州市熙尔生物科技有限公司,5000万元人民币,惠州市惠城区河南岸演达一路1号瑞和家园二期5、6号楼5号楼6层03号房
广东美沃布朗科技有限公司,1500万元人民币,东莞市厚街镇宝屯社区西环路6号
诸城市国通纺织科技有限公司,200万元人民币,山东省潍坊市诸城市高新技术产业园场站路168号
张家港高品诚医械科技有限公司,100万元人民币,金港镇南沙山北村宏盟路
安徽千鑫通讯科技有限公司,7000万元人民币,宁国经济技术开发区创新北路1号
成都净倍思医疗器械有限公司,100万元人民币,四川省成都市都江堰市青城山镇泊江社区六组27号
郑州豫力新材料科技有限公司,8680万元人民币,新郑市郭店镇轻工路与希望路交叉口西南角
黑龙江首骏医疗器械有限公司,5200万元人民币,黑龙江省佳木斯市汤原县幸福家园小区内13号楼南侧独栋(客商服务中心1021室)
海南欣龙无纺股份有限公司,10965万元人民币,海南省澄迈县老城工业开发区
怀宁县信玉新材料有限公司,500万元人民币,安徽省安庆市怀宁县工业园兴业路4号
安徽依采妮纤维材料科技有限公司,100万元人民币,芜湖高新技术产业开发区中山南路717号服务外包产业园B7-1
广东合申医用器械有限公司,5000万元人民币,江门市江海区南山工业区兴业路30号合申工业园二栋三楼
安徽聚利升织造有限公司,500万元人民币,安徽省亳州市利辛县城关镇淝河路以东利辛县佳宇织造有限公司院内
安徽清源防护用品有限公司,1000万元人民币,安徽省安庆市桐城市龙眠街道金大地工业区创业一路
兰州宝石花医疗器械有限公司,2000万元人民币,甘肃省兰州市西固区西固中路152号-10
贺氏（苏州）特殊材料有限公司,3000万美元,苏州工业园区淞北路39号
杭州诚品实业有限公司,2000万元人民币,杭州余杭区余杭街道仙宅村
珠海市红歌防护用品有限公司,300万元人民币,珠海市拱北迎宾南路1155号中建商业大厦13楼1311房
张家港骏马无纺布有限公司,3000万元人民币,杨舍镇乘航蒋桥
黑龙江康沃医疗器械有限公司,5200万元人民币,黑龙江省佳木斯市汤原县幸福家园小区内13号楼南侧独栋楼(客服商务中心1022室)
深圳禧织熔喷制品有限公司,100万元人民币,深圳市光明区公明街道上村社区莲塘工业城东边头工业园第12栋101
宝星磁电工业（惠州）有限公司,6475万港元,惠州仲恺高新区36号小区
邯郸恒永防护洁净用品有限公司,10000万元人民币,河北省永年工业园区内
安徽奥美非纺织造布有限公司,80万元人民币,安徽省阜阳市临泉县前进路东段177号
青岛瑞东新材料科技有限公司,1000万元人民币,山东省青岛市高新区华东路826-15号
安庆市金维劳保用品有限公司,50万元人民币,安徽省安庆市怀宁县高河镇金塘小区北4-6号
仙桃市万顺不锈钢制品有限公司,800万元人民币,仙桃市张沟镇新里仁口绿化村七组
东莞创洪无纺布有限公司,500万元人民币,广东省东莞市石碣镇石碣铭华路48号
潍坊双渔商贸有限公司,1万元人民币,山东省潍坊市坊子区八马路南东刘家埠村北86号
怀宁县龙翔塑料复合有限公司,500万元人民币,安徽省安庆市怀宁县金拱镇工业小区
浙江聚优非织造材料科技有限公司,5000万元人民币,嘉兴市秀洲区新塍镇兴园路283号
敦化市武岳橡塑科技有限公司,500万元人民币,敦化经济开发区
南昌晨琪服装有限公司,100万元人民币,江西省南昌市进贤县经济开发区铭发标准厂房B区南栋2楼
江阴恒和无纺布制品有限公司,1688万元人民币,江阴市华士镇工业集中区勤丰村勤丰路东
石狮市瀚成塑胶彩印有限公司,1450万元人民币,福建省泉州市石狮市永宁镇信义区西路59号
深圳市添越无纺布滤材有限公司,500万元人民币,深圳市龙岗区平湖街道平湖社区万福路王其峰工业区B栋401
洛溪思（监利）无纺布有限公司,120万元人民币,湖北省荆州市监利县朱河镇深圳工业园A区1楼
芜湖跃飞新型吸音材料股份有限公司,5656.0088万元人民币,安徽省芜湖市高新技术产业开发区天井山路21号
常熟璟杰无纺制品有限公司,50万元人民币,常熟市支塘镇常生路3号
湖北金卫康防护用品有限公司,3000万元人民币,仙桃市彭场镇何场新街
安徽佳宜医疗科技有限公司,3000万元人民币,安徽省安庆市怀宁县工业园黄龙路1号
龙口市汇普智造科技发展有限公司,500万元人民币,山东省烟台市龙口市兰高镇政府驻地东四号路南
昆山永安非织造无纺科技有限公司,250万元人民币,昆山市玉山镇夏浜路20号3号房
邢台郎孚贸易有限公司,1000万元人民币,河北省邢台市临城县临城镇岐山湖大道330号
滁州市莎朗新材料科技有限公司,500万元人民币,安徽省滁州市全椒县全椒经济开发区
惠州市龙德科技有限公司,10000万元人民币,惠阳三和经济开发试验区宏联工业园1#
铜陵江南医药拓域科技有限公司,500万元人民币,安徽省铜陵市经济开发区泰祥科技创业园B座厂房一层
安徽润恒实业有限公司,5000万元人民币,阜南县经济开发区阜安路18号
河源中光电通讯技术有限公司,25000万元人民币,河源市高新区科六路南边兴业大道东边C栋第二层
宁国众科机械有限公司,238万元人民币,安徽省宣城市宁国市经济技术开发区河沥园区东城路与曹坊路交叉口南侧
清河县鸿亿贸易有限公司,5000万元人民币,河北省邢台市清河县王官庄镇小屯村西侧
江阴市恒富塑料制品有限公司,50万元人民币,江阴市华士镇华西村民企二路6号(属华西工业集中区)
深圳市嘉鸿泰纸业有限公司,50万元人民币,深圳市龙岗区宝龙街道同德社区浪背村1号名人公馆C栋101
常熟市伟成非织造成套设备有限公司,5000万元人民币,常熟市支塘镇迎阳大道26号
安义县昌盛塑业有限公司,3万元人民币,江西省南昌市安义县工业园区前进路
深圳市毅宁亮照明有限公司,1000万元人民币,深圳市宝安区石岩街道石龙仔路东侧厂房A栋(第三层、第六层)
揭阳保康顺防护用品有限公司,50万元人民币,普宁市下架山镇涂坑村普宁大道南侧
苏州工业园区昌浩喷丝板有限公司,500万元人民币,苏州工业园区唯亭镇双泾街39号
深圳市康盈医疗器材有限公司,100万元人民币,深圳市宝安区沙井街道沙三社区沙三路45号C1
仙桃市功兵劳保用品有限公司,1000万元人民币,仙桃市沙嘴办事处杨岗工业园
淄博华铭医疗器械有限公司,200万元人民币,山东省淄博市桓台县果里镇沈家村282号
桐城市鼎力塑化有限责任公司,200万元人民币,安徽省桐城市合安路1155公里处
安徽富亚医疗器械科技发展有限公司,2000万元人民币,安徽省亳州市利辛县城关镇经开区永兴西路8号
怀宁县日升塑业有限公司,1000万元人民币,安徽省安庆市怀宁县金拱镇工业小区
聊城市茌平区鑫乐包装制品有限公司,100万元人民币,山东省聊城市茌平区贾寨镇郭朱路与通信路交叉口南1000米路东
四川润泰医疗器械有限公司,100万元人民币,四川省泸州市泸县喻寺镇谭坝村160号;四川省泸州市泸县喻寺镇兴隆街(喻寺镇文化体育办公室)
泉州市洛江宏硕机械有限公司,728万元人民币,泉州市洛江区河市镇溪埔工业区
怀宁县建国劳保用品有限公司,20万元人民币,安徽省安庆市怀宁县马庙镇枫林社区学堂组
高密三木医疗防护用品科技有限公司,1000万元人民币,山东省潍坊市高密市柏城镇康平大街西首北侧
桐城市明洁包装材料有限公司,1889万元人民币,安徽省桐城市金神镇香铺工业园
桐城市鑫隆色母料有限公司,100万元人民币,安徽省安庆市桐城市新渡镇新渡村3号101
潜山市明欣劳保用品有限公司,50万元人民币,安徽省安庆市潜山市源潭镇双峰居委会(柴庄片)
长垣市力创机械设备有限公司,5000万元人民币,河南省新乡市长垣市蒲西区人民路西段路南
武城雅洁消毒用品有限公司,1000万元人民币,山东省德州市武城县运河路与古贝春大街交汇路口东50米路南
河南省洁欣医疗器械有限公司,500万元人民币,河南省开封市杞县来远北街蓝岸丽都一单元五楼
河南曼博睿新材料科技有限公司,5000万元人民币,漯河市召陵区东城产业集聚区桃园路3号
晋江金首鞋业有限公司,300万元人民币,福建省泉州市晋江市磁灶镇山仔村疏解大道一号
佛山市保乐进出口贸易有限公司,101万元人民币,佛山市南海区桂城平洲夏东三洲石洛沙“赢富中心”第1座4楼4B11号(住所仅作办公室用)
安徽鸿庆防护用品有限公司,500万元人民币,安徽省安庆市桐城经济技术开发区兴源西路1号
宝鸡格瑞诺无纺布有限公司,1000万元人民币,陕西省宝鸡市高新开发区天王镇泰华物流产业公司院内4号厂房
上海兴诺康纶纤维科技股份有限公司,5400万元人民币,上海市徐汇区宜山路889号5幢1501室
郑州枫林无纺科技有限公司,1000万元人民币,巩义市小关镇小关村
怀宁雷笛汽车配件有限公司,50万元人民币,安徽省安庆市怀宁县金拱镇万胜国际城
临沂金绣苑绣品有限责任公司,2169万元人民币,山东省临沂市费县城东工业园
安徽唐纳新材料科技有限公司,1000万元人民币,安徽省安庆市怀宁县高河镇高河大道天美汽贸厂A区
苏州苏康达环保科技有限公司,50万元人民币,苏州高新区木桥街9号
宏大研究院有限公司,5000万元人民币,北京市北京经济技术开发区永昌南路19号
东莞市铭瑞生物科技有限公司,200万元人民币,广东省东莞市常平镇常平大道25号406室
河北维克托立贸易有限公司,1500万元人民币,河北临城经济开发区中兴大街东侧中段
海宁市卫太生物科技有限公司,322.22万元人民币,浙江省嘉兴市海宁市海宁经济开发区双联路128号6号创业楼2楼
高密三顺医疗器械有限公司,1000万元人民币,山东省潍坊市高密市柏城镇工业园三真大道南段西侧2056号
安徽赛尔维斯防护用品有限公司,568万元人民币,安徽省安庆市桐城市新渡镇新渡村101号
潜山县博雅制衣有限公司,500万元人民币,安徽省安庆市潜山县经济开发区天柱山科技园
邯郸蕾骏纺织有限公司,300万元人民币,河北省邯郸市临漳县经济开发区新城园区朱明大街与北门路交叉口
豫和天中（东莞）科技有限公司,100万元人民币,广东省东莞市南城街道宏图路39号1栋243室
桐乡市健民过滤材料有限公司,4800万元人民币,浙江省嘉兴市桐乡市崇福镇开发区世纪大道北侧
郑州怡发地毯有限公司,1158万元人民币,巩义市回郭镇
马鞍山峻悦纺织品有限公司,200万元人民币,马鞍山市博望区博望镇鸭绿江路与长安路交叉口东北角
安庆市兴中劳保用品有限公司,200万元人民币,安徽省安庆市迎江区龙狮桥乡华中东路182号华丰公寓2-3号楼一层附房
辽宁依佳卫材有限公司,500万元人民币,辽宁省抚顺市顺城区河北乡龚家村(新旗、龚家、施家)
广州市三泰汽车内饰材料有限公司,3000万元人民币,广州市增城区新塘镇新祥路8号(厂房A-1、办公楼A-3)(厂房A-2)
新乡市神陆贸易有限公司,700万元人民币,河南省新乡市新乡经济技术开发区(河南华瑞院内)
晋江泉胜服饰有限公司,1380万元人民币,福建省泉州市晋江市龙湖镇仑上村工业区50号
烟台喜帮电子科技有限公司,100万元人民币,山东省烟台市福山区上庄路77号
豆丁乐园（南京）婴儿用品有限公司,29.997万美元,南京市高淳县经济开发区花园路8号
岳西县寓强劳保用品销售有限公司,20万元人民币,安徽省安庆市岳西县天堂镇叶坂村东山路叶坂安置房1栋3单元602室
绍兴柯桥马能无纺材料有限公司,28万元人民币,绍兴市柯桥区钱清镇联兴路352号
高密市宇宏防护用品有限公司,20万元人民币,山东省潍坊市高密市密水街道卞家庄社区西首100米路西
山东易洁环保科技有限公司,300万元人民币,山东省济南市长清区水鸣庄村十四中西邻200米路北
怀宁运达塑料包装有限公司,688万元人民币,安徽省安庆市怀宁县工业园独秀大道金编塑业院内
濮阳市蓝驭防护用品有限公司,200万元人民币,河南省濮阳市范县新区产业集聚区重华路与工业路交叉口东50米
海宁市御纺织造有限责任公司,100万元人民币,浙江省嘉兴市海宁市丁桥镇永胜村村委会所在地
高密市泽铭煜防护用品有限公司,20万元人民币,山东省潍坊市高密市柏城镇大河崖村460号营业房
东莞市联汇铜业有限公司,60万元人民币,东莞市厚街镇新围社区高排仔村四巷3号
福州晟佳锦新材料有限公司,506万元人民币,福建省福州市闽侯县青口镇镜上村镜厦路58号20#EPP包装车间
欣龙控股（集团）股份有限公司,53839.5万元人民币,澄迈县老城工业开发区
安庆市宇星劳保用品有限公司,50万元人民币,安徽省安庆市怀宁县月山镇月山东大道18号
桐城市丽泽防护用品有限公司,200万元人民币,安徽省安庆市桐城市青草镇陶冲村徐坦中心组9号
安徽康阳防护新材料有限公司,998万元人民币,安徽省安庆市桐城市双港镇双港工业园白陂湖大道18号
华傲科技发展（大连）有限公司,3000万元人民币,辽宁省大连市沙河口区西山街二巷18号2单元4层2号
秦皇岛仑智非织造布有限公司,200万元人民币,河北省秦皇岛市海港区北部工业区揽月街33号
河北海雄医疗器械有限公司,300万元人民币,河北省衡水市阜城县恒通大街西
开平市开德利实业有限公司,100万元人民币,开平市三埠长沙曙光东路138号
山西省蒲县浚洁医疗器械有限公司,2000万元人民币,山西省临汾市蒲县黑龙关镇西坡村
桐城市康利吉劳保用品有限公司,100万元人民币,安徽省安庆市桐城经济技术开发区双新产业园经四路一号
安庆市利康劳保用品有限公司,300万元人民币,安徽省安庆市怀宁县工业园黄龙路11号
滑县仁建卫生材料有限公司,80万元人民币,河南省安阳市滑县瓦岗寨乡马庄村向东500米
安徽格努博尔塑业有限公司,5800万元人民币,安徽省桐城双新经济开发区伊洛大道北侧
广东博顺带业有限公司,3800万元人民币,博罗县杨侨镇十二岭办事处通站路边
郑州市豫融新材料有限公司,2000万元人民币,河南省郑州市登封市中岳街道产业聚集区A区4号楼
深圳市聚能同欣科技有限公司,50万元人民币,深圳市光明新区玉塘街道长圳社区长兴科技工业园23栋3楼西边
上海烟草材料厂有限公司,763万元人民币,中国(上海)自由贸易试验区张江路1406弄49号2幢102室
贺州市惠众医疗器械有限公司,200万元人民币,贺州市八步区松木岭路35号412室
福建省创美无纺布制品有限公司,800万元人民币,南安市洪濑镇扬美开发区
安徽振威泵业有限公司,500万元人民币,安徽省安庆市潜山县黄铺经济开发区
揭阳市志勤医疗用品有限公司,5500万元人民币,揭阳空港经济区砲台镇中心工业园(车间A第三层)
安徽国祥防护用品有限公司,800万元人民币,安徽省安庆市桐城经济技术开发区双创园兴隆路1号
安徽卫之康防护用品有限公司,509万元人民币,安徽省安庆市桐城市新渡镇德隆路1号
安庆康净劳保用品有限公司,168万元人民币,安徽省安庆市经开区中山大道99号1号楼三层
霍邱县辉达永康医疗器械有限公司,518万元人民币,安徽省六安市霍邱经济开发区中小企业创业园
台州市黄岩万联挤出模具有限公司,50万元人民币,浙江省台州市黄岩区新前开发区锦川路32号
桐城市吉兴防护用品有限公司,6万元人民币,安徽省安庆市桐城市青草镇河滨新村11号
九江宝靓电子科技有限公司,100万元人民币,江西省九江市瑞昌市夏畈镇花园墩
东莞市丽春吸塑制品有限公司,50万元人民币,东莞市石排镇沙角村村尾路26号
沈阳信天翁科技有限公司,500万元人民币,"辽宁省沈阳市浑南区上深沟村858-20号,沈阳国际软件园B20号103-2室"
华聚新材料（宝应）有限公司,500万元人民币,宝应县安宜工业集中区科技创业园
桐城市润锦防护用品有限公司,108万元人民币,安徽省安庆市桐城市文昌街道文昌工业园8号
山东凯骏环保科技有限公司,1200万元人民币,山东省潍坊市高密市姜庄镇昌安大道(北)3267号
潍坊泽恒针织有限公司,300万元人民币,山东省潍坊市高密市朝阳街道秦家岭村盛世华府二期1-1号营业房
大连梓越纺织新材料有限公司,300万元人民币,辽宁省大连普湾新区炮台街道长岭村
山东卫康防护用品有限公司,5000万元人民币,山东省菏泽市巨野县大义镇工业园区
深圳市正品轩实业发展有限公司,2000万元人民币,深圳市龙岗区横岗街道四联社区228工业区前程路2号C栋201
泸州新铭诺荟医疗器械有限公司,100万元人民币,四川省泸州市泸县高新区医药产业园酒香大道南段2号
安徽泰戈防护用品有限责任公司,520万元人民币,安徽省安庆市桐城市青草镇同兴村前进队6号
河北月悦美医疗科技开发有限公司,1000万元人民币,河北省邯郸市广平县锦泰路西段路南
