日期,全部,pc,移动
2019-12-01,173,64,109
2019-12-02,202,80,122
2019-12-03,191,89,102
2019-12-04,186,76,110
2019-12-05,184,80,104
2019-12-06,195,87,108
2019-12-07,173,68,105
2019-12-08,202,66,136
2019-12-09,248,89,159
2019-12-10,221,91,130
2019-12-11,213,101,112
2019-12-12,177,72,105
2019-12-13,170,66,104
2019-12-14,161,59,102
2019-12-15,166,61,105
2019-12-16,197,76,121
2019-12-17,179,80,99
2019-12-18,160,61,99
2019-12-19,178,70,108
2019-12-20,186,87,99
2019-12-21,167,59,108
2019-12-22,145,63,82
2019-12-23,186,91,95
2019-12-24,200,87,113
2019-12-25,165,76,89
2019-12-26,190,72,118
2019-12-27,174,82,92
2019-12-28,179,66,113
2019-12-29,154,61,93
2019-12-30,204,72,132
2019-12-31,210,87,123
2020-01-01,165,63,102
2020-01-02,178,76,102
2020-01-03,174,70,104
2020-01-04,153,61,92
2020-01-05,159,66,93
2020-01-06,176,74,102
2020-01-07,178,74,104
2020-01-08,158,78,80
2020-01-09,166,74,92
2020-01-10,158,63,95
2020-01-11,156,57,99
2020-01-12,145,59,86
2020-01-13,168,76,92
2020-01-14,148,72,76
2020-01-15,152,68,84
2020-01-16,142,68,74
2020-01-17,167,78,89
2020-01-18,159,64,95
2020-01-19,284,139,145
2020-01-20,1773,855,918
2020-01-21,4378,1447,2931
2020-01-22,7079,1340,5739
2020-01-23,7416,976,6440
2020-01-24,3690,720,2970
2020-01-25,4202,760,3442
2020-01-26,4223,816,3407
2020-01-27,3927,843,3084
2020-01-28,3787,873,2914
2020-01-29,3600,890,2710
2020-01-30,3779,911,2868
2020-01-31,4227,961,3266
2020-02-01,3726,932,2794
2020-02-02,3771,980,2791
2020-02-03,4194,1243,2951
2020-02-04,3934,1158,2776
2020-02-05,3992,1219,2773
2020-02-06,3974,1261,2713
2020-02-07,4135,1260,2875
2020-02-08,4232,991,3241
2020-02-09,4130,977,3153
2020-02-10,4248,1459,2789
2020-02-11,3749,1251,2498
2020-02-12,3457,1119,2338
2020-02-13,3452,1044,2408
2020-02-14,3046,953,2093
2020-02-15,2672,851,1821
2020-02-16,2492,785,1707
2020-02-17,2817,993,1824
2020-02-18,2701,962,1739
2020-02-19,2696,938,1758
2020-02-20,2642,922,1720
2020-02-21,2713,939,1774
2020-02-22,2356,747,1609
2020-02-23,2216,701,1515
2020-02-24,2449,908,1541
2020-02-25,2541,919,1622
2020-02-26,2534,930,1604
2020-02-27,2354,914,1440
2020-02-28,2378,901,1477
2020-02-29,2166,678,1488
2020-03-01,1893,563,1330
2020-03-02,2217,921,1296
2020-03-03,1985,758,1227
2020-03-04,1956,872,1084
2020-03-05,2061,858,1203
2020-03-06,1905,842,1063
2020-03-07,1384,434,950
2020-03-08,1366,423,943
2020-03-09,1812,841,971
2020-03-10,1825,856,969
2020-03-11,1695,743,952
2020-03-12,1662,715,947
2020-03-13,1697,771,926
2020-03-14,1250,347,903
2020-03-15,1226,321,905
2020-03-16,1692,757,935
2020-03-17,1596,656,940
2020-03-18,1722,788,934
2020-03-19,1455,541,914
2020-03-20,1467,580,887
2020-03-21,1104,250,854
2020-03-22,971,106,865
2020-03-23,1366,495,871
2020-03-24,1143,302,841
2020-03-25,1374,521,853
2020-03-26,1330,485,845
2020-03-27,1364,509,855
2020-03-28,1040,200,840
2020-03-29,1123,279,844
2020-03-30,1459,586,873
2020-03-31,1326,471,855
2020-04-01,1361,510,851
