日期,全部,pc,移动
2011-12-01,941,667,274
2011-12-02,1071,786,285
2011-12-03,904,630,274
2011-12-04,1106,828,278
2011-12-05,1324,948,376
2011-12-06,1776,1265,511
2011-12-07,1676,1127,549
2011-12-08,1384,990,394
2011-12-09,1337,900,437
2011-12-10,1218,817,401
2011-12-11,1218,810,408
2011-12-12,1212,845,367
2011-12-13,1173,775,398
2011-12-14,1120,734,386
2011-12-15,1065,734,331
2011-12-16,1024,701,323
2011-12-17,938,585,353
2011-12-18,900,566,334
2011-12-19,950,633,317
2011-12-20,1007,631,376
2011-12-21,893,613,280
2011-12-22,890,594,296
2011-12-23,842,516,326
2011-12-24,798,464,334
2011-12-25,774,471,303
2011-12-26,889,543,346
2011-12-27,779,518,261
2011-12-28,812,555,257
2011-12-29,784,509,275
2011-12-30,695,425,270
2011-12-31,670,409,261
2012-01-01,620,389,231
2012-01-02,679,431,248
2012-01-03,751,484,267
2012-01-04,849,560,289
2012-01-05,748,471,277
2012-01-06,773,496,277
2012-01-07,693,419,274
2012-01-08,590,371,219
2012-01-09,715,434,281
2012-01-10,728,504,224
2012-01-11,640,412,228
2012-01-12,670,442,228
2012-01-13,658,403,255
2012-01-14,538,326,212
2012-01-15,522,307,215
2012-01-16,594,363,231
2012-01-17,578,329,249
2012-01-18,575,367,208
2012-01-19,560,335,225
2012-01-20,492,268,224
2012-01-21,448,239,209
2012-01-22,428,239,189
2012-01-23,406,209,197
2012-01-24,464,245,219
2012-01-25,472,243,229
2012-01-26,444,236,208
2012-01-27,434,254,180
2012-01-28,466,242,224
2012-01-29,482,301,181
2012-01-30,578,347,231
2012-01-31,608,380,228
2012-02-01,615,361,254
2012-02-02,620,392,228
2012-02-03,612,358,254
2012-02-04,578,347,231
2012-02-05,535,315,220
2012-02-06,663,422,241
2012-02-07,760,499,261
2012-02-08,684,434,250
2012-02-09,635,386,249
2012-02-10,697,485,212
2012-02-11,563,321,242
2012-02-12,617,361,256
2012-02-13,632,417,215
2012-02-14,589,375,214
2012-02-15,641,414,227
2012-02-16,586,355,231
2012-02-17,662,377,285
2012-02-18,583,344,239
2012-02-19,592,310,282
2012-02-20,640,411,229
2012-02-21,647,406,241
2012-02-22,724,436,288
2012-02-23,685,454,231
2012-02-24,638,423,215
2012-02-25,658,431,227
2012-02-26,662,399,263
2012-02-27,672,422,250
2012-02-28,676,430,246
2012-02-29,672,426,246
2012-03-01,634,419,215
2012-03-02,688,439,249
2012-03-03,659,386,273
2012-03-04,592,357,235
2012-03-05,597,383,214
2012-03-06,616,395,221
2012-03-07,631,381,250
2012-03-08,744,471,273
2012-03-09,960,692,268
2012-03-10,805,586,219
2012-03-11,699,501,198
2012-03-12,894,639,255
2012-03-13,782,577,205
2012-03-14,896,647,249
2012-03-15,1129,882,247
2012-03-16,1078,873,205
2012-03-17,1084,866,218
2012-03-18,954,701,253
2012-03-19,810,557,253
2012-03-20,1018,758,260
2012-03-21,1102,863,239
2012-03-22,1130,845,285
2012-03-23,881,628,253
2012-03-24,837,568,269
2012-03-25,710,495,215
2012-03-26,1075,794,281
2012-03-27,1098,851,247
2012-03-28,1007,783,224
2012-03-29,856,648,208
2012-03-30,687,487,200
2012-03-31,901,662,239
2012-04-01,648,450,198
